,pT_{#mu}(GeV),#eta_{#mu},#phi_{#mu},Energy_{#mu}(GeV),Mass_{#mu}(GeV),#Delta{R}_{#mu#mu},#Delta{#eta}_{#mu#mu},#Delta{#phi}_{#mu#mu},#Delta{pT}_{#mu#mu}(GeV),#Delta{#vec{pT}}_{#mu#mu}(GeV),#Delta{#vec{p}}_{#mu#mu}(GeV)
0,275.053466796875,-0.4572167694568634,-1.960787296295166,304.30739792295975,0.10565837548542771,2.8696162364950886,-0.7174789607524872,-2.7784746328936976,-86.71105957031247,456.04805654598766,478.71740808088595
0,60.147037506103516,-0.709558606147766,-0.15786269307136536,75.93435263430837,0.10565837549833952,2.5444962745340356,1.9205801486968994,-1.6690815389156342,-28.588073730468746,70.61274363632432,118.06399991207763
0,32.08115005493164,0.6952506303787231,1.9010921716690063,40.152276154569066,0.10565837549941551,2.9460469007052246,-0.20250365138053894,2.9390788714038294,-4.067541122436523,59.78836139678829,60.5823656259723
0,82.59925842285156,0.1979337334632874,1.9382787942886353,84.22264123672072,0.10565837550264347,1.7877029458520233,-0.6491370201110839,1.665683929120199,-37.88714218139648,97.57886556411316,104.47277708914011
0,40.51434326171875,-0.6338932514190673,-2.9966139793395996,48.930444253349144,0.1056583755004915,1.7619282154367004,0.4001665115356444,1.7158839702606201,-8.20236587524414,55.35352391142224,58.793405126911
0,100.80693054199219,0.5377435684204103,1.2682394981384277,115.73667893066141,0.10565837550264347,2.664570771046263,-0.9532604813575746,2.488218609486715,-20.75591278076172,171.4219498006843,194.11929877017047
0,168.69992065429688,-0.00622552633285514,1.3241233825683594,168.70322291807412,0.10565837550264347,2.355273993830101,-0.1299882680177689,-2.3516842126846313,-129.42616271972656,198.31686512794514,198.36382299954892
0,264.91204833984375,-0.3272247910499573,-1.5456581115722656,279.221944418312,0.10565837548542771,2.9561759519224484,1.2887598276138306,-2.6604650656329554,-221.05216217041016,304.46999805775994,333.9628244029047
0,89.94563293457031,0.7869790196418762,-0.5142102241516112,119.26651594487252,0.10565837549403559,2.1111449554332276,0.2657117247581482,2.0943567752838135,-50.39697265625,114.94044782736728,118.43613261643958
0,77.74591064453125,0.5612830519676207,0.7553519606590271,90.31736136213232,0.10565837549403559,3.580648247384744,-1.8110532164573665,-3.088871657848358,-42.45634078979492,113.00175094883076,152.55067609509697
