,pT_{Z}(GeV),#eta_{Z},#phi_{Z},Energy_{Z}(GeV),Mass_{Z}(GeV)
0,53.53624418725659,-3.023949067288643,2.4306950339765074,558.8617785583201,87.40186409594409
0,115.77130673648122,2.2154470723665516,-0.02442013770617256,577.743035280492,213.4501223411781
0,64.39810534603087,-1.4193585801769835,-2.6536402113469464,188.88233031771682,125.77681836017737
0,31.512435969932927,-2.70141634150251,1.9380127614465867,258.0155681225043,104.65406198901108
0,68.00805008671037,1.332043824034049,-0.7863201277079832,146.3191197658993,49.17373080801031
0,229.9882322463356,-0.7927154604976805,-0.2288106187563503,317.85126190551335,85.57631782111346
0,99.25103291777201,0.06533378048626858,1.7073337138461697,146.79479288656015,107.96219612625158
0,127.9993261397127,-2.0933259988638375,2.3397508289899966,530.4095370893984,59.6446721315627
0,152.03426407873408,0.8128014769841643,1.2311630964741105,415.93198740830223,361.85790926882896
0,63.80476872996038,-2.1274275102603646,-0.316066072530812,672.5439311416023,615.2783784955382
0,112.34364350721573,-1.569810779773484,-1.6857240702126843,288.82253649826725,64.03008836627342
0,75.89937972661758,0.21567599127888787,-0.811032378236134,88.23157595098166,41.85627973887755
0,95.96995165857551,-0.3344804796433912,0.7295299367917631,120.01529175182392,64.21852798535281
0,51.80869799931675,-2.0895662775444093,-2.3456337457384806,266.9265964617253,161.47043037627304
0,73.94818007967571,-0.6495170303830249,0.9568218304783352,113.49009936782645,69.00370259319963
0,39.08234197177348,-1.011760364344949,2.5656539109802012,110.15195101634288,91.8179871166716
0,612.7083134195792,0.2828048175555232,2.172829963622901,645.1032638507426,99.5632414492585
0,56.97661245756761,-1.9128274969501051,-1.6584349859705934,207.88724011320664,65.99030913161651
0,136.8807673858966,-0.5069131691161636,-0.3070522220597086,157.19930202180936,27.092353869421387
0,68.64472067996425,-0.16854195438460412,-1.1402755364596233,70.62917014635991,11.885119630598481
0,145.61160748294117,1.2749717386510038,2.6311362329493053,380.62818847688766,256.8656290438274
0,61.68855866417853,0.018606142550639374,-1.3224234828759345,71.38444546013724,35.901855364137056
0,59.277953666659975,1.8679471483607615,-2.5508102443675744,219.68493494545237,98.25134841106092
0,90.14998771601307,-0.3756181348860047,-1.8886051967807187,176.96619951653338,148.2849687681999
0,30.203283644680294,3.303368405045131,-1.6404525622493331,441.304209998328,159.73185453333343
0,162.82947965859634,0.6131582417582272,2.8911644843116227,557.0782242075164,522.0546863338336
0,82.49329703477544,-0.3215382244775731,-1.4177977056870272,143.65103017698345,114.46540557713593
0,47.63185911308963,0.017174473887747514,-2.3303479311051034,99.14038991090538,86.9445434403181
0,160.54400556169352,-1.5919512159765716,1.5590398732745554,411.7879059979909,29.356301021096503
0,99.39316187952709,0.1564298785558895,1.8898665020120833,122.3105883832074,69.54968687978325
0,8.90621873085057,-0.37043581230905936,1.7152346697609246,116.19504517548711,115.80404188242483
0,48.68160072132569,-0.7866628964484584,-1.2372666654362388,219.60834738465786,209.91122194691107
0,98.08436442292671,-0.799229276979673,2.758397880580147,151.00091178450123,74.9019383121522
0,106.61223964213927,-1.0649597018365864,-0.28800721875154167,230.43729805562725,152.22115898244115
0,11.704058593756615,4.040851063822941,-1.6858326020311905,341.7663373309565,77.18944533186377
0,84.41970278054045,-1.3604694117543863,0.2688462617982161,178.6610031117225,34.16726331607333
0,69.64414421166141,-1.2005161037508865,0.4542831859485344,310.40290514688786,283.61006708092833
0,94.71875967300927,0.3675125450590126,-1.8821868000680055,102.6756047301945,17.416357394746772
0,245.17112898713367,2.115584963629742,-2.57293409292535,1051.0304300267203,201.38093526055883
0,11.775719725717323,2.818631712374979,1.083075086905074,156.43266946612368,121.12369745576306
0,90.06798322629496,0.7105430669959476,-1.0771603468163307,117.6583343640529,29.97058979326336
0,69.94745313067382,-0.10818929731923138,-2.456736894985852,125.65250418185659,104.1077027270764
0,86.96860450163196,1.0109974220402893,-2.6407031676909023,216.10176166499542,168.47937808306185
0,66.58695699514917,1.8309027859895737,-1.6032691214180204,216.9626941988981,40.90846756032271
0,60.74998533723395,-0.15263192871660158,-1.918941572744198,139.2911522306268,124.9992698754186
0,22.089547544010713,2.098792753715232,0.5078744261306615,335.0546630125457,322.33611345376664
0,96.58427929699349,0.3126780369052862,-0.7327854595250127,182.51973972797902,151.79852805518726
0,161.9969667082873,-1.4345779851139167,-0.21215805908964586,372.6652009950971,98.84847894196912
0,60.52345639303656,-1.0725434652105812,-0.22263603541219032,102.63801474503367,27.79524170427497
0,14.290279083346718,1.7459782127625927,0.8517059490293466,136.47891346858847,129.79111733495827
0,33.25188761921576,1.044548236492837,2.9191798711639105,121.09330391333569,108.82873397720901
0,78.14315783634588,1.0231856344707935,1.3936024942141099,143.98213908175734,75.26623627636742
0,107.42546582752044,0.5367120656210809,-3.1304050327175164,251.08414368841343,218.7396337059248
0,99.40067155623105,1.265856211056379,-2.8802877921658485,260.5628917248806,178.0294593303514
0,112.08113561464708,-0.8111217935284155,-3.091374595629067,250.0477122387594,199.29261833173842
